,Survived,Pclass,Sex,Age,Fare,Embarked,FamilyGroup,Type of Ticket,Title,Type of Cabin,AgeGroup
38,0.0,3.0,0.0,18.0,18.0,2.0,2.0,15.0,1.0,8.0,Teen
39,1.0,3.0,0.0,14.000000000000002,11.241700000000002,0.0,1.0,15.0,1.0,8.0,Teen
40,0.0,3.0,0.0,40.0,9.475000000000001,2.0,1.0,15.0,3.0,8.0,Middle-aged
41,0.0,2.0,0.0,27.0,21.0,2.0,1.0,15.0,3.0,8.0,Adult
42,0.0,3.0,1.0,28.4,7.895800000000001,0.0,0.0,15.0,2.0,8.0,Adult
43,1.0,2.0,0.0,3.0,41.5792,0.0,3.0,30.0,1.0,8.0,Child
44,1.0,3.0,0.0,19.0,7.879200000000001,1.0,0.0,15.0,1.0,8.0,Adult
45,0.0,3.0,1.0,33.4,8.05,2.0,0.0,19.0,2.0,8.0,Middle-aged
46,0.0,3.0,1.0,41.7,15.5,1.0,1.0,15.0,2.0,8.0,Middle-aged
47,1.0,3.0,0.0,17.6,7.75,1.0,0.0,15.0,1.0,8.0,Teen
48,0.0,3.0,1.0,19.200000000000003,21.6792,0.0,2.0,15.0,2.0,8.0,Adult
49,0.0,3.0,0.0,18.0,17.799999999999997,2.0,1.0,15.0,3.0,8.0,Teen
50,0.0,3.0,1.0,7.0,39.6875,2.0,5.0,15.0,-2.220446049250313e-16,8.0,Child
51,0.0,3.0,1.0,21.0,7.800000000000001,2.0,0.0,4.0,2.0,8.0,Adult
52,1.0,1.0,0.0,49.0,76.7292,0.0,1.0,17.0,3.0,2.9999999999999996,Middle-aged
53,1.0,2.0,0.0,29.0,26.0,2.0,1.0,15.0,3.0,8.0,Adult
54,0.0,1.0,1.0,65.0,61.9792,0.0,1.0,15.0,2.0,1.0,Senior
55,1.0,1.0,1.0,45.2,35.5,2.0,0.0,15.0,2.0,2.0,Middle-aged
56,1.0,2.0,0.0,21.0,10.5,2.0,0.0,7.0,1.0,8.0,Adult
57,0.0,3.0,1.0,28.5,7.229199999999999,0.0,0.0,15.0,2.0,8.0,Adult
58,1.0,2.0,0.0,5.0,27.75,2.0,3.0,7.0,1.0,8.0,Child
59,0.0,3.0,1.0,11.0,46.9,2.0,7.0,9.0,-2.220446049250313e-16,8.0,Teen
60,0.0,3.0,1.0,22.0,7.229199999999999,0.0,0.0,15.0,2.0,8.0,Adult
61,1.0,1.0,0.0,38.0,80.0,2.0,0.0,15.0,1.0,1.0,Middle-aged
62,0.0,1.0,1.0,45.0,83.475,2.0,1.0,15.0,2.0,2.0,Middle-aged
63,0.0,3.0,1.0,4.0,27.9,2.0,5.0,15.0,-2.220446049250313e-16,8.0,Child
64,0.0,1.0,1.0,42.5,27.7208,0.0,0.0,17.0,2.0,8.0,Middle-aged
65,1.0,3.0,1.0,3.6839999999999975,15.2458,0.0,2.0,15.0,-2.220446049250313e-16,8.0,Child
66,1.0,2.0,0.0,29.0,10.5,2.0,0.0,7.0,3.0,5.0,Adult
67,0.0,3.0,1.0,19.0,8.1583,2.0,0.0,24.0,2.0,8.0,Adult
68,1.0,3.0,0.0,17.0,7.925000000000001,2.0,6.0,15.0,1.0,8.0,Teen
69,0.0,3.0,1.0,26.0,8.662500000000001,2.0,2.0,15.0,2.0,8.0,Adult
70,0.0,2.0,1.0,32.0,10.5,2.0,0.0,7.0,2.0,8.0,Middle-aged
71,0.0,3.0,0.0,16.0,46.9,2.0,7.0,9.0,1.0,8.0,Teen
72,0.0,2.0,1.0,21.0,73.5,2.0,0.0,22.0,2.0,8.0,Adult
73,0.0,3.0,1.0,26.0,14.4542,0.0,1.0,15.0,2.0,8.0,Adult
74,1.0,3.0,1.0,32.0,56.4958,2.0,0.0,15.0,2.0,8.0,Middle-aged
75,0.0,3.0,1.0,25.0,7.649999999999999,2.0,0.0,15.0,2.0,5.0,Adult
76,0.0,3.0,1.0,29.0,7.895800000000001,2.0,0.0,15.0,2.0,8.0,Adult
77,0.0,3.0,1.0,38.0,8.05,2.0,0.0,15.0,2.0,8.0,Middle-aged
78,1.0,2.0,1.0,0.8299999999999983,29.0,2.0,2.0,15.0,-2.220446049250313e-16,8.0,Child
79,1.0,3.0,0.0,30.0,12.475000000000001,2.0,0.0,15.0,1.0,8.0,Adult
80,0.0,3.0,1.0,22.0,9.0,2.0,0.0,15.0,2.0,8.0,Adult
81,1.0,3.0,1.0,29.0,9.5,2.0,0.0,15.0,2.0,8.0,Adult
82,1.0,3.0,0.0,17.6,7.787500000000001,1.0,0.0,15.0,1.0,8.0,Teen
83,0.0,1.0,1.0,28.0,47.1,2.0,0.0,15.0,2.0,8.0,Adult
84,1.0,2.0,0.0,17.0,10.5,2.0,0.0,32.0,1.0,8.0,Teen
85,1.0,3.0,0.0,33.0,15.850000000000001,2.0,3.0,15.0,3.0,8.0,Middle-aged
86,0.0,3.0,1.0,16.0,34.375,2.0,4.0,39.0,2.0,8.0,Teen
87,0.0,3.0,1.0,23.6,8.05,2.0,0.0,35.0,2.0,8.0,Adult
88,1.0,1.0,0.0,23.0,263.00000000000006,2.0,5.0,15.0,1.0,2.0,Adult
89,0.0,3.0,1.0,24.0,8.05,2.0,0.0,15.0,2.0,8.0,Adult
90,0.0,3.0,1.0,29.0,8.05,2.0,0.0,15.0,2.0,8.0,Adult
91,0.0,3.0,1.0,20.0,7.854199999999999,2.0,0.0,15.0,2.0,8.0,Adult
92,0.0,1.0,1.0,46.0,61.175,2.0,1.0,40.0,2.0,4.0,Middle-aged
93,0.0,3.0,1.0,26.0,20.575,2.0,3.0,7.0,2.0,8.0,Adult
94,0.0,3.0,1.0,59.0,7.25,2.0,0.0,15.0,2.0,8.0,Senior
95,0.0,3.0,1.0,38.0,8.05,2.0,0.0,15.0,2.0,8.0,Middle-aged
96,0.0,1.0,1.0,71.0,34.6542,0.0,0.0,17.0,2.0,0.0,Senior
97,1.0,1.0,1.0,23.0,63.3583,0.0,1.0,17.0,2.0,2.9999999999999996,Adult
98,1.0,2.0,0.0,34.0,23.0,2.0,1.0,15.0,3.0,8.0,Middle-aged
99,0.0,2.0,1.0,34.0,26.0,2.0,1.0,15.0,2.0,8.0,Middle-aged
100,0.0,3.0,0.0,28.0,7.895800000000001,2.0,0.0,15.0,1.0,8.0,Adult
101,0.0,3.0,1.0,29.0,7.895800000000001,2.0,0.0,15.0,2.0,8.0,Adult
102,0.0,1.0,1.0,21.0,77.2875,2.0,1.0,15.0,2.0,2.9999999999999996,Adult
103,0.0,3.0,1.0,33.0,8.6542,2.0,0.0,15.0,2.0,8.0,Middle-aged
104,0.0,3.0,1.0,37.0,7.925000000000001,2.0,2.0,15.0,2.0,8.0,Middle-aged
105,0.0,3.0,1.0,28.0,7.895800000000001,2.0,0.0,15.0,2.0,8.0,Adult
106,1.0,3.0,0.0,21.0,7.649999999999999,2.0,0.0,15.0,1.0,8.0,Adult
107,1.0,3.0,1.0,30.4,7.774999999999999,2.0,0.0,15.0,2.0,8.0,Middle-aged
108,0.0,3.0,1.0,38.0,7.895800000000001,2.0,0.0,15.0,2.0,8.0,Middle-aged
109,1.0,3.0,0.0,17.6,24.15,1.0,1.0,15.0,1.0,8.0,Teen
110,0.0,1.0,1.0,47.0,52.0,2.0,0.0,15.0,2.0,2.0,Middle-aged
111,0.0,3.0,0.0,14.499999999999998,14.4542,0.0,1.0,15.0,1.0,8.0,Teen
112,0.0,3.0,1.0,22.0,8.05,2.0,0.0,15.0,2.0,8.0,Adult
113,0.0,3.0,0.0,20.0,9.825,2.0,1.0,15.0,1.0,8.0,Adult
114,0.0,3.0,0.0,17.0,14.458300000000001,0.0,0.0,15.0,1.0,8.0,Teen
115,0.0,3.0,1.0,21.0,7.925000000000001,2.0,0.0,36.0,2.0,8.0,Adult
116,0.0,3.0,1.0,70.5,7.75,1.0,0.0,15.0,2.0,8.0,Senior
117,0.0,2.0,1.0,29.0,21.0,2.0,1.0,15.0,2.0,8.0,Adult
118,0.0,1.0,1.0,24.0,247.52080000000007,0.0,1.0,17.0,2.0,1.0,Adult
119,0.0,3.0,0.0,2.0,31.275,2.0,6.0,15.0,1.0,8.0,Child
120,0.0,2.0,1.0,21.0,73.5,2.0,2.0,22.0,2.0,8.0,Adult
121,0.0,3.0,1.0,35.5,8.05,2.0,0.0,1.7763568394002505e-15,2.0,8.0,Middle-aged
122,0.0,2.0,1.0,32.5,30.0708,0.0,1.0,15.0,2.0,8.0,Middle-aged
123,1.0,2.0,0.0,32.5,13.0,2.0,0.0,15.0,1.0,4.0,Middle-aged
124,0.0,1.0,1.0,54.0,77.2875,2.0,1.0,15.0,2.0,2.9999999999999996,Senior
125,1.0,3.0,1.0,12.0,11.241700000000002,0.0,1.0,15.0,-2.220446049250313e-16,8.0,Teen
126,0.0,3.0,1.0,47.8,7.75,1.0,0.0,15.0,2.0,8.0,Middle-aged
127,1.0,3.0,1.0,24.0,7.1417,2.0,0.0,6.0,2.0,8.0,Adult
128,1.0,3.0,0.0,2.299999999999997,22.3583,0.0,2.0,15.0,1.0,5.0,Child
129,0.0,3.0,1.0,45.0,6.975000000000001,2.0,0.0,15.0,2.0,8.0,Middle-aged
130,0.0,3.0,1.0,33.0,7.895800000000001,0.0,0.0,15.0,2.0,8.0,Middle-aged
131,0.0,3.0,1.0,20.0,7.050000000000001,2.0,0.0,34.0,2.0,8.0,Adult
132,0.0,3.0,0.0,47.0,14.5,2.0,1.0,4.0,3.0,8.0,Middle-aged
133,1.0,2.0,0.0,29.0,26.0,2.0,1.0,15.0,3.0,8.0,Adult
134,0.0,2.0,1.0,25.0,13.0,2.0,0.0,7.0,2.0,8.0,Adult
135,0.0,2.0,1.0,23.0,15.0458,0.0,0.0,29.0,2.0,8.0,Adult
136,1.0,1.0,0.0,19.0,26.2833,2.0,2.0,15.0,1.0,2.9999999999999996,Adult
137,0.0,1.0,1.0,37.0,53.1,2.0,1.0,15.0,2.0,2.0,Middle-aged
138,0.0,3.0,1.0,16.0,9.2167,2.0,0.0,15.0,2.0,8.0,Teen
139,0.0,1.0,1.0,24.0,79.2,0.0,0.0,17.0,2.0,1.0,Adult
140,0.0,3.0,0.0,29.0,15.2458,0.0,2.0,15.0,3.0,8.0,Adult
141,1.0,3.0,0.0,22.0,7.75,2.0,0.0,15.0,1.0,8.0,Adult
142,1.0,3.0,0.0,24.0,15.850000000000001,2.0,1.0,37.0,3.0,8.0,Adult
143,0.0,3.0,1.0,19.0,6.7499999999999964,1.0,0.0,15.0,2.0,8.0,Adult
144,0.0,2.0,1.0,18.0,11.5,2.0,0.0,15.0,2.0,8.0,Teen
145,0.0,2.0,1.0,19.0,36.75,2.0,2.0,7.0,2.0,8.0,Adult
146,1.0,3.0,1.0,27.0,7.7958,2.0,0.0,15.0,2.0,8.0,Adult
147,0.0,3.0,0.0,9.0,34.375,2.0,4.0,39.0,1.0,8.0,Child
148,0.0,2.0,1.0,36.5,26.0,2.0,2.0,15.0,2.0,5.0,Middle-aged
149,0.0,2.0,1.0,42.0,13.0,2.0,0.0,15.0,4.0,8.0,Middle-aged
150,0.0,2.0,1.0,51.0,12.524999999999999,2.0,0.0,23.0,4.0,8.0,Senior
151,1.0,1.0,0.0,22.0,66.6,2.0,1.0,15.0,3.0,2.0,Adult
152,0.0,3.0,1.0,55.5,8.05,2.0,0.0,1.0,2.0,8.0,Senior
153,0.0,3.0,1.0,40.5,14.5,2.0,2.0,4.0,2.0,8.0,Middle-aged
154,0.0,3.0,1.0,37.6,7.3125,2.0,0.0,13.0,2.0,8.0,Middle-aged
155,0.0,1.0,1.0,51.0,61.3792,0.0,1.0,17.0,2.0,8.0,Senior
156,1.0,3.0,0.0,16.0,7.7333,1.0,0.0,15.0,1.0,8.0,Teen
157,0.0,3.0,1.0,30.0,8.05,2.0,0.0,35.0,2.0,8.0,Adult
158,0.0,3.0,1.0,22.6,8.662500000000001,2.0,0.0,15.0,2.0,8.0,Adult
159,0.0,3.0,1.0,6.800000000000001,69.55,2.0,10.0,10.0,-2.220446049250313e-16,8.0,Child
160,0.0,3.0,1.0,44.0,16.1,2.0,1.0,15.0,2.0,8.0,Middle-aged
161,1.0,2.0,0.0,40.0,15.75,2.0,0.0,7.0,3.0,8.0,Middle-aged
162,0.0,3.0,1.0,26.0,7.774999999999999,2.0,0.0,15.0,2.0,8.0,Adult
163,0.0,3.0,1.0,17.0,8.662500000000001,2.0,0.0,15.0,2.0,8.0,Teen
164,0.0,3.0,1.0,1.0,39.6875,2.0,5.0,15.0,-2.220446049250313e-16,8.0,Child
165,1.0,3.0,1.0,9.0,20.525,2.0,2.0,15.0,-2.220446049250313e-16,8.0,Child
166,1.0,1.0,0.0,41.8,55.0,2.0,1.0,15.0,3.0,4.0,Middle-aged
167,0.0,3.0,0.0,45.0,27.9,2.0,5.0,15.0,3.0,8.0,Middle-aged
168,0.0,1.0,1.0,51.0,25.925,2.0,0.0,17.0,2.0,8.0,Senior
169,0.0,3.0,1.0,28.0,56.4958,2.0,0.0,15.0,2.0,8.0,Adult
170,0.0,1.0,1.0,61.0,33.5,2.0,0.0,15.0,2.0,1.0,Senior
171,0.0,3.0,1.0,4.0,29.125,1.0,5.0,15.0,-2.220446049250313e-16,8.0,Child
172,1.0,3.0,0.0,1.0,11.133299999999998,2.0,2.0,15.0,1.0,8.0,Child
173,0.0,3.0,1.0,21.0,7.925000000000001,2.0,0.0,36.0,2.0,8.0,Adult
174,0.0,1.0,1.0,56.0,30.6958,0.0,0.0,15.0,2.0,0.0,Senior
175,0.0,3.0,1.0,18.0,7.854199999999999,2.0,2.0,15.0,2.0,8.0,Teen
176,0.0,3.0,1.0,5.0,25.4667,2.0,4.0,15.0,-2.220446049250313e-16,8.0,Child
177,0.0,1.0,0.0,50.0,28.7125,0.0,0.0,17.0,1.0,2.0,Middle-aged
178,0.0,2.0,1.0,30.0,13.0,2.0,0.0,15.0,2.0,8.0,Adult
179,0.0,3.0,1.0,36.0,0.0,2.0,0.0,14.0,2.0,8.0,Middle-aged
180,0.0,3.0,0.0,8.8,69.55,2.0,10.0,10.0,1.0,8.0,Child
181,0.0,2.0,1.0,28.8,15.05,0.0,0.0,29.0,2.0,8.0,Adult
182,0.0,3.0,1.0,9.0,31.3875,2.0,6.0,15.0,-2.220446049250313e-16,8.0,Child
183,1.0,2.0,1.0,1.0,39.0,2.0,3.0,15.0,-2.220446049250313e-16,5.0,Child
184,1.0,3.0,0.0,4.0,22.025,2.0,2.0,15.0,1.0,8.0,Child
185,0.0,1.0,1.0,47.89999999999999,50.0,2.0,0.0,15.0,2.0,0.0,Middle-aged
186,1.0,3.0,0.0,25.0,15.5,1.0,1.0,15.0,3.0,8.0,Adult
187,1.0,1.0,1.0,45.0,26.55,2.0,0.0,15.0,2.0,8.0,Middle-aged
188,0.0,3.0,1.0,40.0,15.5,1.0,2.0,15.0,2.0,8.0,Middle-aged
189,0.0,3.0,1.0,36.0,7.895800000000001,2.0,0.0,15.0,2.0,8.0,Middle-aged
190,1.0,2.0,0.0,32.0,13.0,2.0,0.0,15.0,3.0,8.0,Middle-aged
191,0.0,2.0,1.0,19.0,13.0,2.0,0.0,15.0,2.0,8.0,Adult
192,1.0,3.0,0.0,19.0,7.854199999999999,2.0,1.0,15.0,1.0,8.0,Adult
193,1.0,2.0,1.0,3.0,26.0,2.0,2.0,15.0,-2.220446049250313e-16,5.0,Child
194,1.0,1.0,0.0,44.0,27.7208,0.0,0.0,17.0,3.0,1.0,Middle-aged
195,1.0,1.0,0.0,58.0,146.5208,0.0,0.0,17.0,1.0,1.0,Senior
196,0.0,3.0,1.0,47.8,7.75,1.0,0.0,15.0,2.0,8.0,Middle-aged
197,0.0,3.0,1.0,42.0,8.4042,2.0,1.0,15.0,2.0,8.0,Middle-aged
198,1.0,3.0,0.0,17.6,7.75,1.0,0.0,15.0,1.0,8.0,Teen
199,0.0,2.0,0.0,24.0,13.0,2.0,0.0,15.0,1.0,8.0,Adult
200,0.0,3.0,1.0,28.0,9.5,2.0,0.0,15.0,2.0,8.0,Adult
201,0.0,3.0,1.0,22.6,69.55,2.0,10.0,10.0,2.0,8.0,Adult
202,0.0,3.0,1.0,34.0,6.495800000000003,2.0,0.0,15.0,2.0,8.0,Middle-aged
203,0.0,3.0,1.0,45.5,7.225000000000005,0.0,0.0,15.0,2.0,8.0,Middle-aged
204,1.0,3.0,1.0,18.0,8.05,2.0,0.0,3.0000000000000018,2.0,8.0,Teen
205,0.0,3.0,0.0,2.0,10.462499999999999,2.0,1.0,15.0,1.0,6.0,Child
206,0.0,3.0,1.0,32.0,15.850000000000001,2.0,1.0,15.0,2.0,8.0,Middle-aged
207,1.0,3.0,1.0,26.0,18.7875,0.0,0.0,15.0,2.0,8.0,Adult
208,1.0,3.0,0.0,16.0,7.75,1.0,0.0,15.0,1.0,8.0,Teen
209,1.0,1.0,1.0,40.0,31.0,0.0,0.0,15.0,2.0,0.0,Middle-aged
210,0.0,3.0,1.0,24.0,7.050000000000001,2.0,0.0,34.0,2.0,8.0,Adult
211,1.0,2.0,0.0,35.0,21.0,2.0,0.0,12.0,1.0,8.0,Middle-aged
212,0.0,3.0,1.0,22.0,7.25,2.0,0.0,3.0000000000000018,2.0,8.0,Adult
213,0.0,2.0,1.0,30.0,13.0,2.0,0.0,15.0,2.0,8.0,Adult
214,0.0,3.0,1.0,47.8,7.75,1.0,1.0,15.0,2.0,8.0,Middle-aged
215,1.0,1.0,0.0,31.0,113.275,0.0,1.0,15.0,1.0,2.9999999999999996,Middle-aged
216,1.0,3.0,0.0,27.0,7.925000000000001,2.0,0.0,37.0,1.0,8.0,Adult
217,0.0,2.0,1.0,42.0,27.0,2.0,1.0,15.0,2.0,8.0,Middle-aged
218,1.0,1.0,0.0,32.0,76.2917,0.0,0.0,15.0,1.0,2.9999999999999996,Middle-aged
219,0.0,2.0,1.0,30.0,10.5,2.0,0.0,41.0,2.0,8.0,Adult
220,1.0,3.0,1.0,16.0,8.05,2.0,0.0,35.0,2.0,8.0,Teen
221,0.0,2.0,1.0,27.0,13.0,2.0,0.0,15.0,2.0,8.0,Adult
222,0.0,3.0,1.0,51.0,8.05,2.0,0.0,15.0,2.0,8.0,Senior
223,0.0,3.0,1.0,29.0,7.895800000000001,2.0,0.0,15.0,2.0,8.0,Adult
224,1.0,1.0,1.0,38.0,90.0,2.0,1.0,15.0,2.0,2.0,Middle-aged
225,0.0,3.0,1.0,22.0,9.350000000000001,2.0,0.0,18.0,2.0,8.0,Adult
226,1.0,2.0,1.0,19.0,10.5,2.0,0.0,38.0,2.0,8.0,Adult
227,0.0,3.0,1.0,20.5,7.25,2.0,0.0,3.0000000000000018,2.0,8.0,Adult
228,0.0,2.0,1.0,18.0,13.0,2.0,0.0,15.0,2.0,8.0,Teen
229,0.0,3.0,0.0,6.399999999999999,25.4667,2.0,4.0,15.0,1.0,8.0,Child
230,1.0,1.0,0.0,35.0,83.475,2.0,1.0,15.0,3.0,2.0,Middle-aged
231,0.0,3.0,1.0,29.0,7.774999999999999,2.0,0.0,15.0,2.0,8.0,Adult
232,0.0,2.0,1.0,59.0,13.5,2.0,0.0,15.0,2.0,8.0,Senior
233,1.0,3.0,0.0,5.0,31.3875,2.0,6.0,15.0,1.0,8.0,Child
234,0.0,2.0,1.0,24.0,10.5,2.0,0.0,7.0,2.0,8.0,Adult
235,0.0,3.0,0.0,30.2,7.550000000000001,2.0,0.0,39.0,1.0,8.0,Middle-aged
236,0.0,2.0,1.0,44.0,26.0,2.0,1.0,15.0,2.0,8.0,Middle-aged
237,1.0,2.0,0.0,8.0,26.25,2.0,2.0,7.0,1.0,8.0,Child
238,0.0,2.0,1.0,19.0,10.5,2.0,0.0,15.0,2.0,8.0,Adult
239,0.0,2.0,1.0,33.0,12.274999999999999,2.0,0.0,31.0,2.0,8.0,Middle-aged
240,0.0,3.0,0.0,15.899999999999999,14.4542,0.0,1.0,15.0,1.0,8.0,Teen
241,1.0,3.0,0.0,17.6,15.5,1.0,1.0,15.0,1.0,8.0,Teen
242,0.0,2.0,1.0,29.0,10.5,2.0,0.0,39.0,2.0,8.0,Adult
243,0.0,3.0,1.0,22.0,7.125,2.0,0.0,36.0,2.0,8.0,Adult
244,0.0,3.0,1.0,30.0,7.225000000000005,0.0,0.0,15.0,2.0,8.0,Adult
245,0.0,1.0,1.0,44.0,90.0,1.0,2.0,15.0,4.0,2.0,Middle-aged
246,0.0,3.0,0.0,25.0,7.774999999999999,2.0,0.0,15.0,1.0,8.0,Adult
247,1.0,2.0,0.0,24.0,14.5,2.0,2.0,15.0,3.0,8.0,Adult
248,1.0,1.0,1.0,37.0,52.5542,2.0,2.0,15.0,2.0,2.9999999999999996,Middle-aged
249,0.0,2.0,1.0,54.0,26.0,2.0,1.0,15.0,4.0,8.0,Senior
250,0.0,3.0,1.0,39.0,7.25,2.0,0.0,15.0,2.0,8.0,Middle-aged
251,0.0,3.0,0.0,29.0,10.462499999999999,2.0,2.0,15.0,3.0,6.0,Adult
252,0.0,1.0,1.0,62.0,26.55,2.0,0.0,15.0,2.0,2.0,Senior
253,0.0,3.0,1.0,30.0,16.1,2.0,1.0,4.0,2.0,8.0,Adult
254,0.0,3.0,0.0,41.0,20.2125,2.0,2.0,15.0,3.0,8.0,Middle-aged
255,1.0,3.0,0.0,29.0,15.2458,0.0,2.0,15.0,3.0,8.0,Adult
256,1.0,1.0,0.0,39.4,79.2,0.0,0.0,17.0,3.0,8.0,Middle-aged
257,1.0,1.0,0.0,30.0,86.5,2.0,0.0,15.0,1.0,1.0,Adult
258,1.0,1.0,0.0,35.0,512.3292,0.0,0.0,17.0,1.0,8.0,Middle-aged
259,1.0,2.0,0.0,50.0,26.0,2.0,1.0,15.0,3.0,8.0,Middle-aged
260,0.0,3.0,1.0,47.8,7.75,1.0,0.0,15.0,2.0,8.0,Middle-aged
261,1.0,3.0,1.0,3.0,31.3875,2.0,6.0,15.0,-2.220446049250313e-16,8.0,Child
262,0.0,1.0,1.0,52.0,79.65,2.0,2.0,15.0,2.0,4.0,Senior
263,0.0,1.0,1.0,40.0,0.0,2.0,0.0,15.0,2.0,1.0,Middle-aged
264,0.0,3.0,0.0,26.5,7.75,1.0,0.0,15.0,1.0,8.0,Adult
265,0.0,2.0,1.0,36.0,10.5,2.0,0.0,7.0,2.0,8.0,Middle-aged
266,0.0,3.0,1.0,16.0,39.6875,2.0,5.0,15.0,2.0,8.0,Teen
267,1.0,3.0,1.0,25.0,7.774999999999999,2.0,1.0,15.0,2.0,8.0,Adult
268,1.0,1.0,0.0,58.0,153.46250000000003,2.0,1.0,17.0,3.0,2.0,Senior
269,1.0,1.0,0.0,35.0,135.63330000000002,2.0,0.0,17.0,1.0,2.0,Middle-aged
270,0.0,1.0,1.0,51.0,31.0,2.0,0.0,15.0,2.0,8.0,Senior
271,1.0,3.0,1.0,25.0,0.0,2.0,0.0,14.0,2.0,8.0,Adult
272,1.0,2.0,0.0,41.0,19.5,2.0,1.0,15.0,3.0,8.0,Middle-aged
273,0.0,1.0,1.0,37.0,29.7,0.0,1.0,17.0,2.0,2.0,Middle-aged
274,1.0,3.0,0.0,17.6,7.75,1.0,0.0,15.0,1.0,8.0,Teen
275,1.0,1.0,0.0,63.0,77.9583,2.0,1.0,15.0,1.0,2.9999999999999996,Senior
276,0.0,3.0,0.0,45.0,7.75,2.0,0.0,15.0,1.0,8.0,Middle-aged
277,0.0,2.0,1.0,23.2,0.0,2.0,0.0,15.0,2.0,8.0,Adult
278,0.0,3.0,1.0,7.0,29.125,1.0,5.0,15.0,-2.220446049250313e-16,8.0,Child
279,1.0,3.0,0.0,35.0,20.25,2.0,2.0,7.0,3.0,8.0,Middle-aged
280,0.0,3.0,1.0,65.0,7.75,1.0,0.0,15.0,2.0,8.0,Senior
281,0.0,3.0,1.0,28.0,7.854199999999999,2.0,0.0,15.0,2.0,8.0,Adult
282,0.0,3.0,1.0,16.0,9.5,2.0,0.0,15.0,2.0,8.0,Teen
